Code,Title,Code,Rating,Rating Count
tt0387764,Peep Show,tt0387764,8.6,"59,857"
tt0758745,Friday Night Lights,tt0758745,8.6,"65,982"
tt0086661,The Adventures of Sherlock Holmes,tt0086661,8.6,"22,217"
tt1628033,Top Gear,tt1628033,8.6,"117,990"
tt0318871,Berserk,tt0318871,8.6,"38,408"
tt5712554,The Grand Tour,tt5712554,8.6,"73,732"
tt0459159,The Thick of It,tt0459159,8.6,"23,441"
tt13991232,1883,tt13991232,8.6,"61,168"
tt2303687,Line of Duty,tt2303687,8.6,"58,042"
tt6025022,Justice League Unlimited,tt6025022,8.6,"15,995"
tt0348914,Deadwood,tt0348914,8.6,"106,456"
tt0773262,Dexter,tt0773262,8.6,"719,644"
tt0106179,The X-Files,tt0106179,8.6,"222,680"
tt1266020,Parks and Recreation,tt1266020,8.6,"254,688"
tt4299972,The Jinx: The Life and Deaths of Robert Durst,tt4299972,8.6,"46,080"
tt0111958,Father Ted,tt0111958,8.6,"40,283"
tt14392248,Aspirants,tt14392248,8.6,"295,762"
tt0988824,Naruto: Shippûden,tt0988824,8.6,"121,983"
tt0088484,Blackadder II,tt0088484,8.6,"46,590"
tt5555260,This Is Us,tt5555260,8.6,"141,438"
tt1733785,The Bridge,tt1733785,8.6,"68,471"
tt9335498,Demon Slayer: Kimetsu no Yaiba,tt9335498,8.6,"96,715"
tt0994314,Code Geass,tt0994314,8.6,"67,063"
tt3322312,Daredevil,tt3322312,8.6,"432,074"
tt4288182,Atlanta,tt4288182,8.6,"70,450"
tt1486217,Archer,tt1486217,8.6,"153,338"
tt0158417,Mahabharat,tt0158417,8.6,"18,419"
tt10638036,Heartstopper,tt10638036,8.6,"48,568"
tt1795096,Behzat Ç.: Bir Ankara Polisiyesi,tt1795096,8.6,"29,867"
tt9140342,It's a Sin,tt9140342,8.6,"30,920"
tt0092324,Blackadder the Third,tt0092324,8.6,"44,149"
tt0094517,Mystery Science Theater 3000,tt0094517,8.6,"24,617"
tt0096639,Lonesome Dove,tt0096639,8.6,"23,184"
tt1641384,Young Justice,tt1641384,8.6,"41,093"
tt10332508,Primal,tt10332508,8.6,"12,942"
tt2049116,Gomorrah,tt2049116,8.6,"39,322"
tt5290382,Mindhunter,tt5290382,8.5,"279,733"
tt4236770,Yellowstone,tt4236770,8.5,"124,427"
tt0090509,The Return of Sherlock Holmes,tt0090509,8.5,"12,206"
tt1305826,Adventure Time,tt1305826,8.5,"93,443"
tt3398540,Haikyu!!,tt3398540,8.5,"24,449"
tt0380136,QI,tt0380136,8.5,"31,756"
tt0434706,Monster,tt0434706,8.5,"29,748"
tt0096657,Mr. Bean,tt0096657,8.5,"118,606"
tt9174558,Dopesick,tt9174558,8.5,"52,442"
tt5189670,Making a Murderer,tt5189670,8.5,"95,376"
tt8595766,Yeh Meri Family,tt8595766,8.5,"23,812"
tt5421602,Anne with an E,tt5421602,8.5,"53,857"
tt0094525,Poirot,tt0094525,8.5,"45,192"
tt0268093,Ramayan,tt0268093,8.5,"19,898"
tt1489428,Justified,tt1489428,8.5,"99,640"
tt0979432,Boardwalk Empire,tt0979432,8.5,"187,971"
tt6763664,The Haunting of Hill House,tt6763664,8.5,"235,701"
tt0080306,Yes Minister,tt0080306,8.5,"14,817"
tt0053488,The Bugs Bunny Show,tt0053488,8.5,"33,731"
tt2244495,The Eric Andre Show,tt2244495,8.5,"18,223"
tt10048342,The Queen's Gambit,tt10048342,8.5,"429,104"
tt8289930,Formula 1: Drive to Survive,tt8289930,8.5,"39,298"
tt1870479,The Newsroom,tt1870479,8.5,"115,242"
tt0863046,Flight of the Conchords,tt0863046,8.5,"61,028"
tt2100976,Impractical Jokers,tt2100976,8.5,"40,097"
tt0088509,Dragon Ball,tt0088509,8.5,"56,996"
tt0275137,Justice League,tt0275137,8.5,"46,359"
tt0187664,Spaced,tt0187664,8.5,"54,567"
